icd_code	label	definition	synonym	grouped_synonym
ICD10CM:L29.9	Pruritus, unspecified		Itch NOS	Itch NOS, Pruritus, unspecified
ICD10CM:M79.5	Residual foreign body in soft tissue		Residual foreign body in soft tissue	Residual foreign body in soft tissue
ICD10CM:Z46.82	Encounter for fitting and adjustment of non-vascular catheter		Encounter for fitting and adjustment of non-vascular catheter	Encounter for fitting and adjustment of non-vascular catheter
ICD10CM:M41.80	Other forms of scoliosis, site unspecified		Other forms of scoliosis, site unspecified	Other forms of scoliosis, site unspecified
ICD10CM:R47.02	Dysphasia		Dysphasia	Dysphasia
ICD10CM:S83.529A	Sprain of posterior cruciate ligament of unspecified knee, initial encounter		Sprain of posterior cruciate ligament of unspecified knee, initial encounter	Sprain of posterior cruciate ligament of unspecified knee, initial encounter
ICD10CM:M19.021	Primary osteoarthritis, right elbow		Primary osteoarthritis, right elbow	Primary osteoarthritis, right elbow
ICD10CM:I35.0	Nonrheumatic aortic (valve) stenosis		Nonrheumatic aortic (valve) stenosis	Nonrheumatic aortic (valve) stenosis
ICD10CM:S89.90XA	Unspecified injury of unspecified lower leg, initial encounter		Unspecified injury of unspecified lower leg, initial encounter	Unspecified injury of unspecified lower leg, initial encounter
ICD10CM:N13.39	Other hydronephrosis		Other hydronephrosis	Other hydronephrosis
ICD10CM:M21.961	Unspecified acquired deformity of right lower leg		Unspecified acquired deformity of right lower leg	Unspecified acquired deformity of right lower leg
ICD10CM:T79.7XXA	Traumatic subcutaneous emphysema, initial encounter		Traumatic subcutaneous emphysema, initial encounter	Traumatic subcutaneous emphysema, initial encounter
ICD10CM:R45.83	Excessive crying of child, adolescent or adult		Excessive crying of child, adolescent or adult	Excessive crying of child, adolescent or adult
ICD10CM:E06.9	Thyroiditis, unspecified		Thyroiditis, unspecified	Thyroiditis, unspecified
ICD10CM:Q38.5	Congenital malformations of palate, not elsewhere classified		Congenital absence of uvula	Congenital absence of uvula, Congenital high arched palate, Congenital malformation of palate NOS, Congenital malformations of palate, not elsewhere classified
ICD10CM:X58.XXXA	Exposure to other specified factors, initial encounter		Exposure to other specified factors, initial encounter	Exposure to other specified factors, initial encounter
ICD10CM:E80.6	Other disorders of bilirubin metabolism		Dubin-Johnson syndrome	Dubin-Johnson syndrome, Other disorders of bilirubin metabolism, Rotor's syndrome
ICD10CM:I50.22	Chronic systolic (congestive) heart failure		Chronic systolic (congestive) heart failure	Chronic systolic (congestive) heart failure
ICD10CM:M25.60	Stiffness of unspecified joint, not elsewhere classified		Stiffness of unspecified joint, not elsewhere classified	Stiffness of unspecified joint, not elsewhere classified
ICD10CM:D72.820	Lymphocytosis (symptomatic)		Elevated lymphocytes	Elevated lymphocytes, Lymphocytosis (symptomatic), lymphocytosis
ICD10CM:J38.1	Polyp of vocal cord and larynx		Polyp of vocal cord and larynx	Polyp of vocal cord and larynx
ICD10CM:M65.9	Synovitis and tenosynovitis, unspecified		Synovitis and tenosynovitis, unspecified	Synovitis and tenosynovitis, unspecified
ICD10CM:S10.14XA	External constriction of part of throat, initial encounter		External constriction of part of throat, initial encounter	External constriction of part of throat, initial encounter
ICD10CM:G95.9	Disease of spinal cord, unspecified		Disease of spinal cord, unspecified	Disease of spinal cord, unspecified, Myelopathy NOS
ICD10CM:S83.011D	Lateral subluxation of right patella, subsequent encounter		Lateral subluxation of right patella, subsequent encounter	Lateral subluxation of right patella, subsequent encounter
ICD10CM:L23.9	Allergic contact dermatitis, unspecified cause		Allergic contact dermatitis, unspecified cause	Allergic contact dermatitis, unspecified cause, Allergic contact eczema NOS
ICD10CM:M21.6X9	Other acquired deformities of unspecified foot		Other acquired deformities of unspecified foot	Other acquired deformities of unspecified foot
ICD10CM:F41.0	Panic disorder [episodic paroxysmal anxiety]		Panic attack	Panic attack, Panic disorder [episodic paroxysmal anxiety], Panic state, panic disorder
ICD10CM:H04.551	Acquired stenosis of right nasolacrimal duct		Acquired stenosis of right nasolacrimal duct	Acquired stenosis of right nasolacrimal duct
ICD10CM:M89.8X5	Other specified disorders of bone, thigh		Other specified disorders of bone, thigh	Other specified disorders of bone, thigh
ICD10CM:D12.2	Benign neoplasm of ascending colon		Benign neoplasm of ascending colon	Benign neoplasm of ascending colon
ICD10CM:L76.32	Postprocedural hematoma of skin and subcutaneous tissue following other procedure		Postprocedural hematoma of skin and subcutaneous tissue following other procedure	Postprocedural hematoma of skin and subcutaneous tissue following other procedure
ICD10CM:Y92.512	Supermarket, store or market as the place of occurrence of the external cause		Supermarket, store or market as the place of occurrence of the external cause	Supermarket, store or market as the place of occurrence of the external cause
ICD10CM:J98.11	Atelectasis		Atelectasis	Atelectasis
ICD10CM:I87.1	Compression of vein		Compression of vein	Compression of vein, Stricture of vein, Vena cava syndrome (inferior) (superior), vena cava syndrome
ICD10CM:N94.9	Unspecified condition associated with female genital organs and menstrual cycle		Unspecified condition associated with female genital organs and menstrual cycle	Unspecified condition associated with female genital organs and menstrual cycle
ICD10CM:Z01.00	Encounter for examination of eyes and vision without abnormal findings		Encounter for examination of eyes and vision NOS	Encounter for examination of eyes and vision NOS, Encounter for examination of eyes and vision without abnormal findings
ICD10CM:H01.004	Unspecified blepharitis left upper eyelid		Unspecified blepharitis left upper eyelid	Unspecified blepharitis left upper eyelid
ICD10CM:T14.91XD	Suicide attempt, subsequent encounter		Suicide attempt, subsequent encounter	Suicide attempt, subsequent encounter
ICD10CM:H93.25	Central auditory processing disorder		Central auditory processing disorder	Central auditory processing disorder, Congenital auditory imperception, Word deafness
ICD10CM:G43.709	Chronic migraine without aura, not intractable, without status migrainosus		Chronic migraine without aura NOS	Chronic migraine without aura NOS, Chronic migraine without aura, not intractable, without status migrainosus
ICD10CM:N28.1	Cyst of kidney, acquired		Cyst (multiple) (solitary) of kidney (acquired)	Cyst (multiple) (solitary) of kidney (acquired), Cyst of kidney, acquired, cyst
ICD10CM:M41.116	Juvenile idiopathic scoliosis, lumbar region		Juvenile idiopathic scoliosis, lumbar region	Juvenile idiopathic scoliosis, lumbar region
ICD10CM:R41.82	Altered mental status, unspecified		Altered mental status, unspecified	Altered mental status, unspecified, Change in mental status NOS
ICD10CM:H44.23	Degenerative myopia, bilateral		Degenerative myopia, bilateral	Degenerative myopia, bilateral
ICD10CM:M89.38	Hypertrophy of bone, other site		Hypertrophy of bone, other site	Hypertrophy of bone, other site
ICD10CM:H66.006	Acute suppurative otitis media without spontaneous rupture of ear drum, recurrent, bilateral		Acute suppurative otitis media without spontaneous rupture of ear drum, recurrent, bilateral	Acute suppurative otitis media without spontaneous rupture of ear drum, recurrent, bilateral
ICD10CM:G25.2	Other specified forms of tremor		Intention tremor	Intention tremor, Other specified forms of tremor
ICD10CM:F45.1	Undifferentiated somatoform disorder		Somatic symptom disorder	Somatic symptom disorder, Undifferentiated psychosomatic disorder, Undifferentiated somatoform disorder
ICD10CM:N61.0	Mastitis without abscess		Cellulitis (acute) (nonpuerperal) (subacute) of breast NOS	Cellulitis (acute) (nonpuerperal) (subacute) of breast NOS, Cellulitis (acute) (nonpuerperal) (subacute) of nipple NOS, Infective mastitis (acute) (nonpuerperal) (subacute), Mastitis (acute) (nonpuerperal) (subacute) NOS, Mastitis without abscess, infective mastitis
ICD10CM:K42.9	Umbilical hernia without obstruction or gangrene		Umbilical hernia NOS	Umbilical hernia NOS, Umbilical hernia without obstruction or gangrene
ICD10CM:M76.891	Other specified enthesopathies of right lower limb, excluding foot		Other specified enthesopathies of right lower limb, excluding foot	Other specified enthesopathies of right lower limb, excluding foot
ICD10CM:S92.353D	Displaced fracture of fifth metatarsal bone, unspecified foot, subsequent encounter for fracture with routine healing		Displaced fracture of fifth metatarsal bone, unspecified foot, subsequent encounter for fracture with routine healing	Displaced fracture of fifth metatarsal bone, unspecified foot, subsequent encounter for fracture with routine healing
ICD10CM:M94.262	Chondromalacia, left knee		Chondromalacia, left knee	Chondromalacia, left knee
ICD10CM:B01.89	Other varicella complications		Other varicella complications	Other varicella complications
ICD10CM:S83.011A	Lateral subluxation of right patella, initial encounter		Lateral subluxation of right patella, initial encounter	Lateral subluxation of right patella, initial encounter
ICD10CM:D69.6	Thrombocytopenia, unspecified		Thrombocytopenia, unspecified	Thrombocytopenia, unspecified
ICD10CM:S99.922D	Unspecified injury of left foot, subsequent encounter		Unspecified injury of left foot, subsequent encounter	Unspecified injury of left foot, subsequent encounter
ICD10CM:M62.89	Other specified disorders of muscle		Muscle (sheath) hernia	Muscle (sheath) hernia, Other specified disorders of muscle
ICD10CM:H90.A12	Conductive hearing loss, unilateral, left ear with restricted hearing on the contralateral side		Conductive hearing loss, unilateral, left ear with restricted hearing on the contralateral side	Conductive hearing loss, unilateral, left ear with restricted hearing on the contralateral side
ICD10CM:F33.2	Major depressive disorder, recurrent severe without psychotic features		Major depressive disorder, recurrent severe without psychotic features	Major depressive disorder, recurrent severe without psychotic features
ICD10CM:H92.03	Otalgia, bilateral		Otalgia, bilateral	Otalgia, bilateral
ICD10CM:Z30.8	Encounter for other contraceptive management		Encounter for other contraceptive management	Encounter for other contraceptive management, Encounter for postvasectomy sperm count, Encounter for routine examination for contraceptive maintenance
ICD10CM:Z13.9	Encounter for screening, unspecified		Encounter for screening, unspecified	Encounter for screening, unspecified
ICD10CM:Z99.3	Dependence on wheelchair		Dependence on wheelchair	Dependence on wheelchair, Wheelchair confinement status
ICD10CM:A41.51	Sepsis due to Escherichia coli [E. coli]		Sepsis due to Escherichia coli [E. coli]	Sepsis due to Escherichia coli [E. coli], sepsis due to escherichia coli
ICD10CM:Z04.8	Encounter for examination and observation for other specified reasons		Encounter for examination and observation for other specified reasons	Encounter for examination and observation for other specified reasons, Encounter for examination and observation for request for expert evidence
ICD10CM:B34.9	Viral infection, unspecified		Viral infection, unspecified	Viral infection, unspecified, Viremia NOS
ICD10CM:R79.0	Abnormal level of blood mineral		Abnormal blood level of cobalt	Abnormal blood level of cobalt, Abnormal blood level of copper, Abnormal blood level of iron, Abnormal blood level of magnesium, Abnormal blood level of mineral NEC, Abnormal blood level of zinc, Abnormal level of blood mineral
ICD10CM:K50.919	Crohn's disease, unspecified, with unspecified complications		Crohn's disease, unspecified, with unspecified complications	Crohn's disease, unspecified, with unspecified complications
ICD10CM:L03.213	Periorbital cellulitis		Periorbital cellulitis	Periorbital cellulitis, Preseptal cellulitis
ICD10CM:S80.01XA	Contusion of right knee, initial encounter		Contusion of right knee, initial encounter	Contusion of right knee, initial encounter
ICD10CM:B95.8	Unspecified staphylococcus as the cause of diseases classified elsewhere		Unspecified staphylococcus as the cause of diseases classified elsewhere	Unspecified staphylococcus as the cause of diseases classified elsewhere
ICD10CM:R06.5	Mouth breathing		Mouth breathing	Mouth breathing
ICD10CM:M79.605	Pain in left leg		Pain in left leg	Pain in left leg, Pain in left lower limb NOS
ICD10CM:I25.10	Atherosclerotic heart disease of native coronary artery without angina pectoris		Atherosclerotic heart disease NOS	Atherosclerotic heart disease NOS, Atherosclerotic heart disease of native coronary artery without angina pectoris
ICD10CM:H54.8	Legal blindness, as defined in USA		Blindness NOS according to USA definition	Blindness NOS according to USA definition, Legal blindness, as defined in USA
ICD10CM:Z47.1	Aftercare following joint replacement surgery		Aftercare following joint replacement surgery	Aftercare following joint replacement surgery
ICD10CM:L57.8	Other skin changes due to chronic exposure to nonionizing radiation		Farmer's skin	Farmer's skin, Other skin changes due to chronic exposure to nonionizing radiation, Sailor's skin, Solar dermatitis
ICD10CM:Z91.048	Other nonmedicinal substance allergy status		Other nonmedicinal substance allergy status	Other nonmedicinal substance allergy status
ICD10CM:E28.39	Other primary ovarian failure		Decreased estrogen	Decreased estrogen, Other primary ovarian failure, Resistant ovary syndrome
ICD10CM:Y92.481	Parking lot as the place of occurrence of the external cause		Parking lot as the place of occurrence of the external cause	Parking lot as the place of occurrence of the external cause
ICD10CM:H66.004	Acute suppurative otitis media without spontaneous rupture of ear drum, recurrent, right ear		Acute suppurative otitis media without spontaneous rupture of ear drum, recurrent, right ear	Acute suppurative otitis media without spontaneous rupture of ear drum, recurrent, right ear
ICD10CM:L81.4	Other melanin hyperpigmentation		Lentigo	Lentigo, Other melanin hyperpigmentation
ICD10CM:E78.6	Lipoprotein deficiency		Abetalipoproteinemia	Abetalipoproteinemia, Depressed HDL cholesterol, High-density lipoprotein deficiency, Hypoalphalipoproteinemia, Hypobetalipoproteinemia (familial), Lecithin cholesterol acyltransferase deficiency, Lipoprotein deficiency, Tangier disease, hypobetalipoproteinemia
ICD10CM:R43.9	Unspecified disturbances of smell and taste		Unspecified disturbances of smell and taste	Unspecified disturbances of smell and taste
ICD10CM:M93.961	Osteochondropathy, unspecified, right lower leg		Osteochondropathy, unspecified, right lower leg	Osteochondropathy, unspecified, right lower leg
ICD10CM:M21.071	Valgus deformity, not elsewhere classified, right ankle		Valgus deformity, not elsewhere classified, right ankle	Valgus deformity, not elsewhere classified, right ankle
ICD10CM:B30.9	Viral conjunctivitis, unspecified		Viral conjunctivitis, unspecified	Viral conjunctivitis, unspecified
ICD10CM:M21.751	Unequal limb length (acquired), right femur		Unequal limb length (acquired), right femur	Unequal limb length (acquired), right femur
ICD10CM:T83.018A	Breakdown (mechanical) of other urinary catheter, initial encounter		Breakdown (mechanical) of other urinary catheter, initial encounter	Breakdown (mechanical) of other urinary catheter, initial encounter
ICD10CM:Z60.8	Other problems related to social environment		Other problems related to social environment	Other problems related to social environment
ICD10CM:F80.81	Childhood onset fluency disorder		Childhood onset fluency disorder	Childhood onset fluency disorder, Cluttering NOS, Stuttering NOS
ICD10CM:N28.9	Disorder of kidney and ureter, unspecified		Disorder of kidney and ureter, unspecified	Disorder of kidney and ureter, unspecified, Nephropathy NOS, Renal disease (acute) NOS, Renal insufficiency (acute), renal insufficiency
ICD10CM:K05.10	Chronic gingivitis, plaque induced		Chronic gingivitis NOS	Chronic gingivitis NOS, Chronic gingivitis, plaque induced, Gingivitis NOS
ICD10CM:H25.9	Unspecified age-related cataract		Unspecified age-related cataract	Unspecified age-related cataract
ICD10CM:M20.12	Hallux valgus (acquired), left foot		Hallux valgus (acquired), left foot	Hallux valgus (acquired), left foot
ICD10CM:I63.031	Cerebral infarction due to thrombosis of right carotid artery		Cerebral infarction due to thrombosis of right carotid artery	Cerebral infarction due to thrombosis of right carotid artery
ICD10CM:H25.813	Combined forms of age-related cataract, bilateral		Combined forms of age-related cataract, bilateral	Combined forms of age-related cataract, bilateral
ICD10CM:R59.9	Enlarged lymph nodes, unspecified		Enlarged lymph nodes, unspecified	Enlarged lymph nodes, unspecified
ICD10CM:R15.1	Fecal smearing		Fecal smearing	Fecal smearing, Fecal soiling
ICD10CM:N36.9	Urethral disorder, unspecified		Urethral disorder, unspecified	Urethral disorder, unspecified
ICD10CM:R19.07	Generalized intra-abdominal and pelvic swelling, mass and lump		Diffuse or generalized intra-abdominal swelling or mass NOS	Diffuse or generalized intra-abdominal swelling or mass NOS, Diffuse or generalized pelvic swelling or mass NOS, Generalized intra-abdominal and pelvic swelling, mass and lump
ICD10CM:M79.604	Pain in right leg		Pain in right leg	Pain in right leg, Pain in right lower limb NOS
ICD10CM:F51.01	Primary insomnia		Idiopathic insomnia	Idiopathic insomnia, Primary insomnia
ICD10CM:M23.92	Unspecified internal derangement of left knee		Unspecified internal derangement of left knee	Unspecified internal derangement of left knee
ICD10CM:R10.816	Epigastric abdominal tenderness		Epigastric abdominal tenderness	Epigastric abdominal tenderness
ICD10CM:H55.09	Other forms of nystagmus		Other forms of nystagmus	Other forms of nystagmus
ICD10CM:N35.811	Other urethral stricture, male, meatal		Other urethral stricture, male, meatal	Other urethral stricture, male, meatal
ICD10CM:G54.2	Cervical root disorders, not elsewhere classified		Cervical root disorders, not elsewhere classified	Cervical root disorders, not elsewhere classified
ICD10CM:S72.492A	Other fracture of lower end of left femur, initial encounter for closed fracture		Other fracture of lower end of left femur, initial encounter for closed fracture	Other fracture of lower end of left femur, initial encounter for closed fracture
ICD10CM:E05.90	Thyrotoxicosis, unspecified without thyrotoxic crisis or storm		Thyrotoxicosis, unspecified without thyrotoxic crisis or storm	Thyrotoxicosis, unspecified without thyrotoxic crisis or storm
ICD10CM:S99.911A	Unspecified injury of right ankle, initial encounter		Unspecified injury of right ankle, initial encounter	Unspecified injury of right ankle, initial encounter
ICD10CM:G72.49	Other inflammatory and immune myopathies, not elsewhere classified		Inflammatory myopathy NOS	Inflammatory myopathy NOS, Other inflammatory and immune myopathies, not elsewhere classified
ICD10CM:J98.59	Other diseases of mediastinum, not elsewhere classified		Fibrosis of mediastinum	Fibrosis of mediastinum, Hernia of mediastinum, Other diseases of mediastinum, not elsewhere classified, Retraction of mediastinum
ICD10CM:H52.02	Hypermetropia, left eye		Hypermetropia, left eye	Hypermetropia, left eye
ICD10CM:N39.9	Disorder of urinary system, unspecified		Disorder of urinary system, unspecified	Disorder of urinary system, unspecified
ICD10CM:F02.818				
ICD10CM:T83.510A	Infection and inflammatory reaction due to cystostomy catheter, initial encounter		Infection and inflammatory reaction due to cystostomy catheter, initial encounter	Infection and inflammatory reaction due to cystostomy catheter, initial encounter
ICD10CM:Z68.22	Body mass index [BMI] 22.0-22.9, adult		Body mass index [BMI] 22.0-22.9, adult	Body mass index [BMI] 22.0-22.9, adult
ICD10CM:F17.210	Nicotine dependence, cigarettes, uncomplicated		Nicotine dependence, cigarettes, uncomplicated	Nicotine dependence, cigarettes, uncomplicated
ICD10CM:L03.111	Cellulitis of right axilla		Cellulitis of right axilla	Cellulitis of right axilla
ICD10CM:H70.90	Unspecified mastoiditis, unspecified ear		Unspecified mastoiditis, unspecified ear	Unspecified mastoiditis, unspecified ear
ICD10CM:Y82.8	Other medical devices associated with adverse incidents		Other medical devices associated with adverse incidents	Other medical devices associated with adverse incidents
ICD10CM:M21.851	Other specified acquired deformities of right thigh		Other specified acquired deformities of right thigh	Other specified acquired deformities of right thigh
ICD10CM:N20.1	Calculus of ureter		Calculus of the ureteropelvic junction	Calculus of the ureteropelvic junction, Calculus of ureter, Ureteric stone
ICD10CM:Z45.89	Encounter for adjustment and management of other implanted devices		Encounter for adjustment and management of other implanted devices	Encounter for adjustment and management of other implanted devices
ICD10CM:K40.91	Unilateral inguinal hernia, without obstruction or gangrene, recurrent		Unilateral inguinal hernia, without obstruction or gangrene, recurrent	Unilateral inguinal hernia, without obstruction or gangrene, recurrent
ICD10CM:N76.0	Acute vaginitis		Acute vaginitis	Acute vaginitis, Acute vulvovaginitis, Vaginitis NOS, Vulvovaginitis NOS
ICD10CM:N13.5	Crossing vessel and stricture of ureter without hydronephrosis		Crossing vessel and stricture of ureter without hydronephrosis	Crossing vessel and stricture of ureter without hydronephrosis, Kinking and stricture of ureter without hydronephrosis
ICD10CM:H25.811	Combined forms of age-related cataract, right eye		Combined forms of age-related cataract, right eye	Combined forms of age-related cataract, right eye
ICD10CM:G47.8	Other sleep disorders		Other sleep disorders	Other sleep disorders, Other specified sleep-wake disorder
ICD10CM:M25.752	Osteophyte, left hip		Osteophyte, left hip	Osteophyte, left hip
ICD10CM:M41.129	Adolescent idiopathic scoliosis, site unspecified		Adolescent idiopathic scoliosis, site unspecified	Adolescent idiopathic scoliosis, site unspecified
ICD10CM:Y83.9	Surgical procedure, unspecified as the cause of abnormal reaction of the patient, or of later complication, without mention of misadventure at the time of the procedure		Surgical procedure, unspecified as the cause of abnormal reaction of the patient, or of later complication, without mention of misadventure at the time of the procedure	Surgical procedure, unspecified as the cause of abnormal reaction of the patient, or of later complication, without mention of misadventure at the time of the procedure
ICD10CM:D23.5	Other benign neoplasm of skin of trunk		Other benign neoplasm of anal margin	Other benign neoplasm of anal margin, Other benign neoplasm of anal skin, Other benign neoplasm of perianal skin, Other benign neoplasm of skin of breast, Other benign neoplasm of skin of trunk
ICD10CM:F51.04	Psychophysiologic insomnia		Psychophysiologic insomnia	Psychophysiologic insomnia
ICD10CM:H73.20	Unspecified myringitis, unspecified ear		Unspecified myringitis, unspecified ear	Unspecified myringitis, unspecified ear
ICD10CM:M25.669	Stiffness of unspecified knee, not elsewhere classified		Stiffness of unspecified knee, not elsewhere classified	Stiffness of unspecified knee, not elsewhere classified
ICD10CM:Z63.8	Other specified problems related to primary support group		Family discord NOS	Family discord NOS, Family estrangement NOS, High expressed emotional level within family, Inadequate family support NOS, Inadequate or distorted communication within family, Other specified problems related to primary support group
ICD10CM:R82.8	Abnormal findings on cytological and histological examination of urine		Abnormal findings on cytological and histological examination of urine	Abnormal findings on cytological and histological examination of urine
ICD10CM:Z80.9	Family history of malignant neoplasm, unspecified		Conditions classifiable to C80.1	Conditions classifiable to C80.1, Family history of malignant neoplasm, unspecified
ICD10CM:J98.09	Other diseases of bronchus, not elsewhere classified		Broncholithiasis	Broncholithiasis, Calcification of bronchus, Other diseases of bronchus, not elsewhere classified, Stenosis of bronchus, Tracheobronchial collapse, Tracheobronchial dyskinesia, Ulcer of bronchus
ICD10CM:L02.31	Cutaneous abscess of buttock		Cutaneous abscess of buttock	Cutaneous abscess of buttock, Cutaneous abscess of gluteal region
ICD10CM:R22.33	Localized swelling, mass and lump, upper limb, bilateral		Localized swelling, mass and lump, upper limb, bilateral	Localized swelling, mass and lump, upper limb, bilateral
ICD10CM:R25.8	Other abnormal involuntary movements		Other abnormal involuntary movements	Other abnormal involuntary movements
ICD10CM:M21.052	Valgus deformity, not elsewhere classified, left hip		Valgus deformity, not elsewhere classified, left hip	Valgus deformity, not elsewhere classified, left hip
ICD10CM:H69.82	Other specified disorders of Eustachian tube, left ear		Other specified disorders of Eustachian tube, left ear	Other specified disorders of Eustachian tube, left ear
ICD10CM:L03.319	Cellulitis of trunk, unspecified		Cellulitis of trunk, unspecified	Cellulitis of trunk, unspecified
ICD10CM:B02.8	Zoster with other complications		Herpes zoster otitis externa	Herpes zoster otitis externa, Zoster with other complications
ICD10CM:I08.8	Other rheumatic multiple valve diseases		Other rheumatic multiple valve diseases	Other rheumatic multiple valve diseases
ICD10CM:M25.559	Pain in unspecified hip		Pain in unspecified hip	Pain in unspecified hip
ICD10CM:J98.8	Other specified respiratory disorders		Other specified respiratory disorders	Other specified respiratory disorders
ICD10CM:M19.072	Primary osteoarthritis, left ankle and foot		Primary osteoarthritis, left ankle and foot	Primary osteoarthritis, left ankle and foot
ICD10CM:L60.2	Onychogryphosis		Onychogryphosis	Onychogryphosis
ICD10CM:H57.9	Unspecified disorder of eye and adnexa		Unspecified disorder of eye and adnexa	Unspecified disorder of eye and adnexa
ICD10CM:I47.9	Paroxysmal tachycardia, unspecified		Bouveret (-Hoffman) syndrome	Bouveret (-Hoffman) syndrome, Paroxysmal tachycardia, unspecified
ICD10CM:T20.20XA	Burn of second degree of head, face, and neck, unspecified site, initial encounter		Burn of second degree of head, face, and neck, unspecified site, initial encounter	Burn of second degree of head, face, and neck, unspecified site, initial encounter
ICD10CM:Q23.3	Congenital mitral insufficiency		Congenital mitral insufficiency	Congenital mitral insufficiency
ICD10CM:E11.649	Type 2 diabetes mellitus with hypoglycemia without coma		Type 2 diabetes mellitus with hypoglycemia without coma	Type 2 diabetes mellitus with hypoglycemia without coma
ICD10CM:G47.29	Other circadian rhythm sleep disorder		Other circadian rhythm sleep disorder	Other circadian rhythm sleep disorder
ICD10CM:M23.51	Chronic instability of knee, right knee		Chronic instability of knee, right knee	Chronic instability of knee, right knee
ICD10CM:E87.2	Acidosis		Acidosis	Acidosis, Acidosis NOS, Lactic acidosis, Metabolic acidosis, Respiratory acidosis
ICD10CM:K63.3	Ulcer of intestine		Primary ulcer of small intestine	Primary ulcer of small intestine, Ulcer of intestine
ICD10CM:N13.732	Vesicoureteral-reflux with reflux nephropathy with hydroureter, bilateral		Vesicoureteral-reflux with reflux nephropathy with hydroureter, bilateral	Vesicoureteral-reflux with reflux nephropathy with hydroureter, bilateral
ICD10CM:D49.4	Neoplasm of unspecified behavior of bladder		Neoplasm of unspecified behavior of bladder	Neoplasm of unspecified behavior of bladder
ICD10CM:T81.4XXS				
ICD10CM:Z87.442	Personal history of urinary calculi		Personal history of kidney stones	Personal history of kidney stones, Personal history of urinary calculi
ICD10CM:R22.9	Localized swelling, mass and lump, unspecified		Localized swelling, mass and lump, unspecified	Localized swelling, mass and lump, unspecified
ICD10CM:Z20.3	Contact with and (suspected) exposure to rabies		Contact with and (suspected) exposure to rabies	Contact with and (suspected) exposure to rabies
ICD10CM:Z53.33	Arthroscopic surgical procedure converted to open procedure		Arthroscopic surgical procedure converted to open procedure	Arthroscopic surgical procedure converted to open procedure
ICD10CM:J20.8	Acute bronchitis due to other specified organisms		Acute bronchitis due to other specified organisms	Acute bronchitis due to other specified organisms
ICD10CM:I48.92	Unspecified atrial flutter		Unspecified atrial flutter	Unspecified atrial flutter
ICD10CM:M71.371	Other bursal cyst, right ankle and foot		Other bursal cyst, right ankle and foot	Other bursal cyst, right ankle and foot
ICD10CM:M21.962	Unspecified acquired deformity of left lower leg		Unspecified acquired deformity of left lower leg	Unspecified acquired deformity of left lower leg
ICD10CM:S01.511A	Laceration without foreign body of lip, initial encounter		Laceration without foreign body of lip, initial encounter	Laceration without foreign body of lip, initial encounter
ICD10CM:K56.7	Ileus, unspecified		Ileus, unspecified	Ileus, unspecified
ICD10CM:L60.9	Nail disorder, unspecified		Nail disorder, unspecified	Nail disorder, unspecified
ICD10CM:D03.59	Melanoma in situ of other part of trunk		Melanoma in situ of other part of trunk	Melanoma in situ of other part of trunk
ICD10CM:R19.5	Other fecal abnormalities		Abnormal stool color	Abnormal stool color, Bulky stools, Mucus in stools, Occult blood in feces, Occult blood in stools, Other fecal abnormalities
ICD10CM:L02.214	Cutaneous abscess of groin		Cutaneous abscess of groin	Cutaneous abscess of groin
ICD10CM:M79.641	Pain in right hand		Pain in right hand	Pain in right hand
ICD10CM:H54.0	Blindness, both eyes		Blindness, both eyes	Blindness, both eyes, Visual impairment categories 3, 4, 5 in both eyes.
ICD10CM:R22.31	Localized swelling, mass and lump, right upper limb		Localized swelling, mass and lump, right upper limb	Localized swelling, mass and lump, right upper limb
ICD10CM:H53.029	Refractive amblyopia, unspecified eye		Refractive amblyopia, unspecified eye	Refractive amblyopia, unspecified eye
ICD10CM:F31.64	Bipolar disorder, current episode mixed, severe, with psychotic features		Bipolar disorder, current episode mixed with mood-congruent psychotic symptoms	Bipolar disorder, current episode mixed with mood-congruent psychotic symptoms, Bipolar disorder, current episode mixed with mood-incongruent psychotic symptoms, Bipolar disorder, current episode mixed, severe, with psychotic features
ICD10CM:R80.2	Orthostatic proteinuria, unspecified		Orthostatic proteinuria, unspecified	Orthostatic proteinuria, unspecified, Postural proteinuria
ICD10CM:I82.C12	Acute embolism and thrombosis of left internal jugular vein		Acute embolism and thrombosis of left internal jugular vein	Acute embolism and thrombosis of left internal jugular vein
ICD10CM:Y93.I9	Activity, other involving external motion		Activity, other involving external motion	Activity, other involving external motion
ICD10CM:M25.469	Effusion, unspecified knee		Effusion, unspecified knee	Effusion, unspecified knee
ICD10CM:K62.89	Other specified diseases of anus and rectum		Other specified diseases of anus and rectum	Other specified diseases of anus and rectum, Proctitis NOS
ICD10CM:M23.322	Other meniscus derangements, posterior horn of medial meniscus, left knee		Other meniscus derangements, posterior horn of medial meniscus, left knee	Other meniscus derangements, posterior horn of medial meniscus, left knee
ICD10CM:Z68.52	Body mass index [BMI] pediatric, 5th percentile to less than 85th percentile for age		Body mass index [BMI] pediatric, 5th percentile to less than 85th percentile for age	Body mass index [BMI] pediatric, 5th percentile to less than 85th percentile for age
ICD10CM:N35.819	Other urethral stricture, male, unspecified site		Other urethral stricture, male, unspecified site	Other urethral stricture, male, unspecified site
ICD10CM:M77.9	Enthesopathy, unspecified		Bone spur NOS	Bone spur NOS, Capsulitis NOS, Enthesopathy, unspecified, Periarthritis NOS, Tendinitis NOS
ICD10CM:F02.C18				
